device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin,profile,benchmark_mode
samsung-s24-ultra,tinyllama-1.1b-q4km,637,20,20,0,0,3428,28.32,512,4,180,20,2,56.9,44.4,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli,quality,real_world

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,ok,30949,0.0,False,2026-05-25T15:49:42Z,2026-05-25T15:50:13Z
P02,ok,2959,0.0,False,2026-05-25T15:50:43Z,2026-05-25T15:50:46Z
P03,ok,3021,0.0,False,2026-05-25T15:51:17Z,2026-05-25T15:51:20Z
P04,ok,3554,0.0,False,2026-05-25T15:51:50Z,2026-05-25T15:51:54Z
P05,ok,3428,0.0,False,2026-05-25T15:52:24Z,2026-05-25T15:52:28Z
P06,ok,6032,28.32,False,2026-05-25T15:52:58Z,2026-05-25T15:53:04Z
P07,ok,2352,0.0,False,2026-05-25T15:54:35Z,2026-05-25T15:54:37Z
P08,ok,2839,0.0,False,2026-05-25T15:55:07Z,2026-05-25T15:55:10Z
P09,ok,3191,0.0,False,2026-05-25T15:55:41Z,2026-05-25T15:55:44Z
P10,ok,3310,0.0,False,2026-05-25T15:56:14Z,2026-05-25T15:56:17Z
P11,ok,5137,0.0,False,2026-05-25T15:56:48Z,2026-05-25T15:56:53Z
P12,ok,3308,0.0,False,2026-05-25T15:57:23Z,2026-05-25T15:57:27Z
P13,ok,22408,26.97,False,2026-05-25T15:57:57Z,2026-05-25T15:58:19Z
P14,ok,3836,0.0,False,2026-05-25T15:59:50Z,2026-05-25T15:59:54Z
P15,ok,3868,0.0,False,2026-05-25T16:00:24Z,2026-05-25T16:00:28Z
P16,ok,3285,0.0,False,2026-05-25T16:00:58Z,2026-05-25T16:01:02Z
P17,ok,3250,0.0,False,2026-05-25T16:01:32Z,2026-05-25T16:01:35Z
P18,ok,2497,0.0,False,2026-05-25T16:02:06Z,2026-05-25T16:02:08Z
P19,ok,4474,0.0,False,2026-05-25T16:02:39Z,2026-05-25T16:02:43Z
P20,ok,4440,0.0,False,2026-05-25T16:03:14Z,2026-05-25T16:03:18Z
