device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin,profile,benchmark_mode
samsung-s24-ultra,qwen2.5-1.5b-q4km,1065,20,20,0,0,36127,16.91,512,4,180,20,15,42.4,52.2,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli,quality,real_world

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,ok,36493,16.83,False,2026-05-25T16:25:25Z,2026-05-25T16:26:02Z
P02,ok,34857,17.04,False,2026-05-25T16:27:33Z,2026-05-25T16:28:08Z
P03,ok,37397,15.86,False,2026-05-25T16:28:39Z,2026-05-25T16:29:16Z
P04,ok,34955,17.44,False,2026-05-25T16:30:47Z,2026-05-25T16:31:22Z
P05,ok,36395,16.74,False,2026-05-25T16:32:53Z,2026-05-25T16:33:30Z
P06,ok,34959,17.23,False,2026-05-25T16:35:01Z,2026-05-25T16:35:36Z
P07,ok,34214,17.2,False,2026-05-25T16:37:07Z,2026-05-25T16:37:41Z
P08,ok,34662,17.24,False,2026-05-25T16:39:12Z,2026-05-25T16:39:47Z
P09,ok,35499,16.91,False,2026-05-25T16:41:18Z,2026-05-25T16:41:54Z
P10,ok,36127,16.77,False,2026-05-25T16:43:25Z,2026-05-25T16:44:01Z
P11,ok,46603,13.7,False,2026-05-25T16:44:32Z,2026-05-25T16:45:18Z
P12,ok,38753,15.5,False,2026-05-25T16:45:50Z,2026-05-25T16:46:28Z
P13,ok,42202,14.06,False,2026-05-25T16:46:59Z,2026-05-25T16:47:42Z
P14,ok,44436,13.55,False,2026-05-25T16:48:13Z,2026-05-25T16:48:57Z
P15,ok,35897,17.26,False,2026-05-25T16:50:28Z,2026-05-25T16:51:04Z
P16,ok,34521,17.7,False,2026-05-25T16:52:35Z,2026-05-25T16:53:10Z
P17,ok,35228,17.24,False,2026-05-25T16:54:41Z,2026-05-25T16:55:16Z
P18,ok,34493,17.14,False,2026-05-25T16:56:47Z,2026-05-25T16:57:22Z
P19,ok,37575,16.63,False,2026-05-25T16:58:53Z,2026-05-25T16:59:31Z
P20,ok,39102,15.89,False,2026-05-25T17:01:02Z,2026-05-25T17:01:41Z
