device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin
samsung-s24-ultra,qwen2.5-1.5b-q4km,1065,20,20,0,0,18481,18.83,256,4,90,20,20,45.9,55.8,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,ok,18718,18.0,False,2026-05-24T12:45:31Z,2026-05-24T12:45:50Z
P02,ok,17961,18.23,False,2026-05-24T12:47:20Z,2026-05-24T12:47:38Z
P03,ok,17960,18.53,False,2026-05-24T12:49:09Z,2026-05-24T12:49:27Z
P04,ok,20691,17.26,False,2026-05-24T12:50:57Z,2026-05-24T12:51:18Z
P05,ok,18512,18.62,False,2026-05-24T12:52:48Z,2026-05-24T12:53:07Z
P06,ok,18903,17.65,False,2026-05-24T12:54:37Z,2026-05-24T12:54:56Z
P07,ok,16786,19.14,False,2026-05-24T12:56:26Z,2026-05-24T12:56:43Z
P08,ok,17335,19.18,False,2026-05-24T12:58:13Z,2026-05-24T12:58:31Z
P09,ok,19288,17.37,False,2026-05-24T13:00:01Z,2026-05-24T13:00:20Z
P10,ok,18456,18.47,False,2026-05-24T13:01:51Z,2026-05-24T13:02:09Z
P11,ok,19899,19.13,False,2026-05-24T13:03:40Z,2026-05-24T13:03:59Z
P12,ok,17888,19.28,False,2026-05-24T13:05:30Z,2026-05-24T13:05:48Z
P13,ok,18234,18.85,False,2026-05-24T13:07:18Z,2026-05-24T13:07:36Z
P14,ok,19611,17.86,False,2026-05-24T13:09:07Z,2026-05-24T13:09:26Z
P15,ok,18481,19.24,False,2026-05-24T13:10:57Z,2026-05-24T13:11:15Z
P16,ok,18316,18.83,False,2026-05-24T13:12:45Z,2026-05-24T13:13:04Z
P17,ok,18358,18.45,False,2026-05-24T13:14:34Z,2026-05-24T13:14:52Z
P18,ok,17171,18.89,False,2026-05-24T13:16:23Z,2026-05-24T13:16:40Z
P19,ok,19299,18.88,False,2026-05-24T13:18:10Z,2026-05-24T13:18:30Z
P20,ok,19288,18.99,False,2026-05-24T13:20:00Z,2026-05-24T13:20:19Z
