device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin,profile,benchmark_mode
samsung-s24-ultra,qwen2.5-0.5b-q4km,468,20,19,1,0,51501,35.77,512,4,180,20,14,60.1,49.9,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli,quality,real_world

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,ok,181353,8.86,False,2026-05-25T13:07:17Z,2026-05-25T13:10:18Z
P02,ok,12792,48.44,False,2026-05-25T13:11:30Z,2026-05-25T13:11:43Z
P03,ok,62037,37.8,False,2026-05-25T13:17:11Z,2026-05-25T13:18:13Z
P04,ok,17905,34.02,False,2026-05-25T13:24:22Z,2026-05-25T13:24:39Z
P05,ok,109306,47.96,False,2026-05-25T13:25:59Z,2026-05-25T13:27:48Z
P06,ok,169704,15.44,False,2026-05-25T13:36:40Z,2026-05-25T13:39:29Z
P07,ok,349127,8.4,False,2026-05-25T13:40:00Z,2026-05-25T13:45:49Z
P08,ok,55359,10.14,False,2026-05-25T13:46:20Z,2026-05-25T13:47:15Z
P09,ok,51501,12.98,False,2026-05-25T13:50:18Z,2026-05-25T13:51:09Z
P10,ok,202119,35.77,False,2026-05-25T13:58:16Z,2026-05-25T14:01:39Z
P11,ok,14880,47.24,False,2026-05-25T14:04:51Z,2026-05-25T14:05:06Z
P12,ok,49099,42.33,False,2026-05-25T14:07:59Z,2026-05-25T14:08:48Z
P13,ok,13912,46.82,False,2026-05-25T14:10:19Z,2026-05-25T14:10:32Z
P14,ok,168126,19.52,False,2026-05-25T14:13:19Z,2026-05-25T14:16:07Z
P15,ok,31977,17.49,False,2026-05-25T14:18:19Z,2026-05-25T14:18:51Z
P16,ok,13191,47.88,False,2026-05-25T14:20:04Z,2026-05-25T14:20:17Z
P17,ok,25340,41.57,False,2026-05-25T14:23:55Z,2026-05-25T14:24:20Z
P18,timeout,242952,,True,2026-05-25T14:26:09Z,2026-05-25T14:30:12Z
P19,ok,52259,35.25,False,2026-05-25T14:30:43Z,2026-05-25T14:31:35Z
P20,ok,14721,43.51,False,2026-05-25T14:33:51Z,2026-05-25T14:34:06Z
