device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin
samsung-s24-ultra,llama3.2-3b-q4km,1925,20,0,0,20,,,256,4,90,0,0,41.7,40.8,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,error,1067,,False,2026-05-24T16:26:07Z,2026-05-24T16:26:08Z
P02,error,1056,,False,2026-05-24T16:26:39Z,2026-05-24T16:26:40Z
P03,error,1024,,False,2026-05-24T16:27:10Z,2026-05-24T16:27:11Z
P04,error,1047,,False,2026-05-24T16:27:42Z,2026-05-24T16:27:43Z
P05,error,1058,,False,2026-05-24T16:28:13Z,2026-05-24T16:28:14Z
P06,error,1063,,False,2026-05-24T16:28:44Z,2026-05-24T16:28:46Z
P07,error,1038,,False,2026-05-24T16:29:16Z,2026-05-24T16:29:17Z
P08,error,1108,,False,2026-05-24T16:29:47Z,2026-05-24T16:29:48Z
P09,error,987,,False,2026-05-24T16:30:19Z,2026-05-24T16:30:20Z
P10,error,1050,,False,2026-05-24T16:30:50Z,2026-05-24T16:30:51Z
P11,error,1055,,False,2026-05-24T16:31:22Z,2026-05-24T16:31:23Z
P12,error,1054,,False,2026-05-24T16:31:53Z,2026-05-24T16:31:54Z
P13,error,1034,,False,2026-05-24T16:32:25Z,2026-05-24T16:32:26Z
P14,error,1089,,False,2026-05-24T16:32:56Z,2026-05-24T16:32:57Z
P15,error,1046,,False,2026-05-24T16:33:27Z,2026-05-24T16:33:28Z
P16,error,1077,,False,2026-05-24T16:33:59Z,2026-05-24T16:34:00Z
P17,error,1082,,False,2026-05-24T16:34:30Z,2026-05-24T16:34:31Z
P18,error,1049,,False,2026-05-24T16:35:02Z,2026-05-24T16:35:03Z
P19,error,1044,,False,2026-05-24T16:35:33Z,2026-05-24T16:35:34Z
P20,error,1031,,False,2026-05-24T16:36:05Z,2026-05-24T16:36:06Z
